day,start time 3h interval (utc),location,height above ground in m,u-component wind in m/s,v-component wind in m/s,temperature in °C,global surface radiation in W/m2
125,21:00,2,2,-1.10,0.00,15.25,6
126,00:00,2,2,-1.90,1.80,17.15,0
126,03:00,2,2,-2.30,1.84,17.65,17
126,06:00,2,2,-1.99,2.33,19.95,240
126,09:00,2,2,3.98,0.71,22.65,256
126,12:00,2,2,2.70,-0.50,19.85,480
126,15:00,2,2,5.10,0.48,21.45,395
126,18:00,2,2,2.51,-0.42,19.05,10
126,21:00,2,2,0.32,-0.18,12.05,5
127,00:00,2,2,-1.52,-0.31,12.85,0
127,03:00,2,2,-1.22,-0.43,11.55,26
127,06:00,2,2,-1.61,-1.13,16.05,470
127,09:00,2,2,-1.12,-0.42,21.05,638
127,12:00,2,2,-0.19,0.24,25.95,750
127,15:00,2,2,0.55,1.31,27.45,543
127,18:00,2,2,0.76,-1.64,22.95,10
127,21:00,2,2,-1.17,-0.24,16.05,5
128,00:00,2,2,-1.53,2.66,17.85,0
128,03:00,2,2,-2.14,1.25,17.35,25
128,06:00,2,2,-3.11,1.55,20.55,80
128,09:00,2,2,-1.77,1.15,21.75,314
128,12:00,2,2,1.41,0.88,29.75,740
128,15:00,2,2,2.19,-1.34,30.75,537
128,18:00,2,2,0.50,-0.46,23.55,10
128,21:00,2,2,-1.50,-1.75,20.05,5
129,00:00,2,2,-2.80,0.38,19.15,0
129,03:00,2,2,-2.01,1.37,18.55,23
129,06:00,2,2,-3.08,1.64,21.05,460
129,09:00,2,2,0.55,2.25,26.85,631
129,12:00,2,2,2.51,-0.03,31.75,740
129,15:00,2,2,2.15,-1.25,32.35,536
129,18:00,2,2,-0.14,-0.88,24.15,10
129,21:00,2,2,-0.58,-0.66,18.85,5
130,00:00,2,2,-0.57,1.30,19.05,0
130,03:00,2,2,0.07,2.73,18.45,24
130,06:00,2,2,-0.27,0.91,21.05,460
130,09:00,2,2,0.34,-1.86,24.45,632
130,12:00,2,2,2.66,-2.56,27.55,730
130,15:00,2,2,1.29,-3.75,28.05,516
130,18:00,2,2,1.14,-2.35,23.85,10
130,21:00,2,2,-1.32,-4.07,20.45,4
131,00:00,2,2,-1.71,-3.40,17.45,0
131,03:00,2,2,-1.53,-1.75,16.05,20
131,06:00,2,2,0.28,-1.33,18.75,380
131,09:00,2,2,1.22,-1.58,21.95,452
131,12:00,2,2,2.93,-2.15,22.85,130
131,15:00,2,2,3.56,-0.05,21.25,89
131,18:00,2,2,0.59,0.09,18.55,0
131,21:00,2,2,1.41,-0.87,18.05,0
132,00:00,2,2,1.30,0.43,17.45,0
132,03:00,2,2,1.06,-0.72,16.55,13
132,06:00,2,2,1.55,0.26,17.85,130
132,09:00,2,2,1.98,-0.07,19.35,371
132,12:00,2,2,0.88,-1.54,21.75,630
132,15:00,2,2,1.99,-3.17,22.75,442
132,18:00,2,2,1.56,-1.19,19.45,10
132,21:00,2,2,1.19,-1.04,15.95,3
133,00:00,2,2,-0.01,-1.22,14.35,0
133,03:00,2,2,-0.75,-1.82,14.65,21
133,06:00,2,2,-1.06,-1.33,17.55,400
133,09:00,2,2,0.04,-1.92,21.45,556
133,12:00,2,2,0.40,-2.16,24.25,697
133,15:00,2,2,0.15,-3.39,25.55,500
133,18:00,2,2,0.05,-2.00,22.15,10
133,21:00,2,2,-1.24,-1.45,17.75,3
134,00:00,2,2,-1.41,-1.56,16.85,0
134,03:00,2,2,-1.14,-1.02,15.35,21
134,06:00,2,2,-1.11,0.18,19.65,440
134,09:00,2,2,0.42,-0.27,23.75,609
134,12:00,2,2,0.13,-0.95,27.45,711
134,15:00,2,2,0.09,-1.92,28.55,506
134,18:00,2,2,-0.57,-2.13,23.55,10
134,21:00,2,2,-2.15,-0.96,19.35,3
135,00:00,2,2,-3.05,-0.33,18.85,0
135,03:00,2,2,-2.40,0.02,17.35,21
135,06:00,2,2,-2.53,0.27,20.35,440
135,09:00,2,2,-0.88,1.50,24.65,599
135,12:00,2,2,1.57,-0.39,28.05,690
135,15:00,2,2,3.96,-2.82,28.45,443
135,18:00,2,2,2.40,0.43,22.75,0
135,21:00,2,2,2.48,2.35,19.15,1
136,00:00,2,2,-1.85,0.59,17.15,0
136,03:00,2,2,0.10,1.78,15.95,6
136,06:00,2,2,-0.68,1.45,17.15,360
136,09:00,2,2,1.62,1.08,20.85,474
136,12:00,2,2,1.66,-0.70,21.05,82
136,15:00,2,2,0.16,1.31,17.55,51
136,18:00,2,2,-0.70,2.16,16.35,0
136,21:00,2,2,-1.25,2.44,15.45,1
137,00:00,2,2,0.41,2.88,15.15,0
137,03:00,2,2,1.35,3.08,13.55,5
137,06:00,2,2,1.72,2.26,14.25,160
137,09:00,2,2,3.90,0.80,15.35,196
137,12:00,2,2,4.56,1.02,16.05,303
137,15:00,2,2,5.09,0.13,16.35,208
137,18:00,2,2,2.20,0.09,14.15,0
137,21:00,2,2,1.47,0.23,11.75,1
138,00:00,2,2,1.68,-2.07,12.25,0
138,03:00,2,2,1.27,-1.80,11.75,3
138,06:00,2,2,1.47,-1.36,11.85,140
138,09:00,2,2,1.54,-2.05,13.95,167
138,12:00,2,2,0.67,-3.60,15.45,470
138,15:00,2,2,0.98,-4.04,16.25,295
138,18:00,2,2,0.13,-2.92,13.45,0
138,21:00,2,2,0.27,-1.63,9.15,2
139,00:00,2,2,-0.46,-1.53,7.95,0
139,03:00,2,2,-0.11,-0.57,5.95,18
139,06:00,2,2,-0.26,-0.74,12.05,430
139,09:00,2,2,1.59,-1.69,15.85,606
139,12:00,2,2,1.93,-2.49,18.35,680
139,15:00,2,2,2.85,-2.71,18.75,487
139,18:00,2,2,0.37,-2.02,12.95,0
139,21:00,2,2,-0.65,-2.67,9.25,2
140,00:00,2,2,-1.14,-1.69,7.85,0
140,03:00,2,2,-0.42,-0.44,5.35,19
140,06:00,2,2,-0.86,-0.80,11.45,440
140,09:00,2,2,1.46,-0.73,15.45,611
140,12:00,2,2,2.26,-1.18,18.35,709
140,15:00,2,2,2.91,-2.26,19.15,495
140,18:00,2,2,0.49,-3.49,14.85,0
140,21:00,2,2,-1.08,-2.57,11.05,2
141,00:00,2,2,-1.43,-2.11,11.75,0
141,03:00,2,2,-1.14,-2.36,10.75,1
141,06:00,2,2,-0.79,-0.29,11.05,80
141,09:00,2,2,-0.06,-1.63,13.15,146
141,12:00,2,2,0.14,-1.11,15.75,320
141,15:00,2,2,0.11,-1.34,16.95,223
141,18:00,2,2,-0.26,0.10,12.05,0
141,21:00,2,2,-0.80,-0.11,8.95,1
142,00:00,2,2,-1.21,0.84,8.45,0
142,03:00,2,2,-0.94,0.05,6.75,17
142,06:00,2,2,-1.33,0.43,12.65,430
142,09:00,2,2,-0.25,-0.06,16.75,593
142,12:00,2,2,1.01,-0.49,19.25,700
142,15:00,2,2,1.04,-1.35,20.15,489
142,18:00,2,2,-0.26,-1.94,14.15,0
142,21:00,2,2,-1.79,-0.83,10.65,1
143,00:00,2,2,-1.59,0.36,9.15,0
143,03:00,2,2,-1.19,-0.20,7.85,17
143,06:00,2,2,-2.11,0.66,13.45,430
143,09:00,2,2,-0.94,-0.43,18.05,597
143,12:00,2,2,0.41,-1.75,21.45,660
143,15:00,2,2,0.56,-2.35,21.85,464
143,18:00,2,2,0.13,-2.22,16.45,0
143,21:00,2,2,-1.38,-1.09,12.05,1
144,00:00,2,2,-2.30,-0.03,11.75,0
144,03:00,2,2,-1.67,0.08,10.05,16
144,06:00,2,2,-2.43,0.69,13.55,420
144,09:00,2,2,-1.03,0.19,18.45,591
144,12:00,2,2,0.02,-0.66,22.65,691
144,15:00,2,2,0.07,-0.80,23.25,478
144,18:00,2,2,-1.91,-0.86,17.05,0
144,21:00,2,2,-3.15,0.33,14.25,1
145,00:00,2,2,-2.51,0.28,12.55,0
145,03:00,2,2,-2.52,1.08,12.15,15
145,06:00,2,2,-3.37,0.07,14.45,410
145,09:00,2,2,-1.58,1.52,20.35,571
145,12:00,2,2,1.72,2.31,20.55,138
145,15:00,2,2,1.96,2.42,17.55,80
145,18:00,2,2,-0.77,0.97,14.65,0
145,21:00,2,2,-1.34,2.20,14.15,0
146,00:00,2,2,-2.44,2.70,14.25,0
146,03:00,2,2,-2.63,1.38,12.65,14
146,06:00,2,2,-2.22,0.55,14.25,40
146,09:00,2,2,-1.63,2.13,14.55,53
146,12:00,2,2,1.22,1.78,16.15,70
146,15:00,2,2,2.76,1.44,15.65,61
146,18:00,2,2,-1.21,3.76,14.05,0
146,21:00,2,2,2.03,3.21,12.05,1
147,00:00,2,2,2.71,2.67,10.05,0
147,03:00,2,2,3.47,1.25,8.75,15
147,06:00,2,2,0.85,1.82,10.05,420
147,09:00,2,2,3.25,1.28,14.15,596
147,12:00,2,2,3.29,1.59,17.35,710
147,15:00,2,2,3.75,0.44,18.15,485
147,18:00,2,2,0.56,0.52,9.85,0
147,21:00,2,2,0.10,1.11,8.15,1
148,00:00,2,2,-0.52,2.27,9.85,0
148,03:00,2,2,-1.37,1.73,9.35,14
148,06:00,2,2,-2.70,1.27,12.25,410
148,09:00,2,2,-1.61,2.04,18.25,587
148,12:00,2,2,-1.06,1.70,22.75,690
148,15:00,2,2,0.24,3.14,24.05,470
148,18:00,2,2,-1.07,1.19,15.85,0
148,21:00,2,2,-1.89,2.89,15.75,1
149,00:00,2,2,-2.25,3.29,15.65,0
149,03:00,2,2,-2.16,2.74,14.15,12
149,06:00,2,2,-2.77,1.82,15.75,390
149,09:00,2,2,-0.66,2.63,22.05,560
149,12:00,2,2,1.62,4.79,26.75,650
149,15:00,2,2,4.25,3.99,27.05,443
149,18:00,2,2,-0.08,0.87,17.45,0
149,21:00,2,2,-0.82,3.85,19.15,0
150,00:00,2,2,1.63,2.36,17.85,0
150,03:00,2,2,-0.63,2.53,16.95,12
150,06:00,2,2,-1.96,2.04,17.65,380
150,09:00,2,2,2.31,2.81,23.05,553
150,12:00,2,2,2.66,-0.83,25.25,650
150,15:00,2,2,3.12,0.68,25.85,441
150,18:00,2,2,0.37,-1.21,18.25,0
150,21:00,2,2,-1.77,-2.63,17.75,0
151,00:00,2,2,-2.32,-1.20,16.45,0
151,03:00,2,2,-1.83,-0.57,15.35,11
151,06:00,2,2,-2.28,-0.06,17.25,380
151,09:00,2,2,-0.96,0.18,22.75,547
151,12:00,2,2,0.60,-0.09,27.45,610
151,15:00,2,2,0.29,-1.22,28.75,414
151,18:00,2,2,0.46,-1.43,20.65,0
151,21:00,2,2,-0.22,-0.96,17.65,0
152,00:00,2,2,0.21,1.94,18.65,0
152,03:00,2,2,-1.10,2.71,18.35,10
152,06:00,2,2,-1.97,1.88,19.25,390
152,09:00,2,2,0.52,2.62,24.65,559
152,12:00,2,2,1.85,0.61,28.55,660
152,15:00,2,2,2.00,-0.60,29.15,444
152,18:00,2,2,0.87,-0.38,18.35,0
152,21:00,2,2,0.30,-0.09,16.15,0
153,00:00,2,2,0.10,2.13,16.45,0
153,03:00,2,2,-0.73,2.05,15.85,11
153,06:00,2,2,-2.18,1.75,18.75,390
153,09:00,2,2,-0.05,2.85,23.75,552
153,12:00,2,2,2.88,3.33,28.15,650
153,15:00,2,2,4.84,2.91,27.85,438
153,18:00,2,2,0.88,1.56,19.65,0
153,21:00,2,2,0.71,2.68,18.15,0
154,00:00,2,2,0.17,1.49,15.45,0
154,03:00,2,2,-0.85,2.71,16.15,8
154,06:00,2,2,-2.01,2.41,17.85,340
154,09:00,2,2,5.12,3.61,22.55,377
154,12:00,2,2,7.89,2.54,18.65,NaN
154,15:00,2,2,NaN,NaN,NaN,NaN
154,18:00,2,2,1.93,-2.09,14.05,0
154,21:00,2,2,0.90,-1.01,10.25,0
155,00:00,2,2,0.26,-0.02,8.05,0
155,03:00,2,2,-0.57,-1.18,7.85,10
155,06:00,2,2,NaN,NaN,NaN,NaN
155,09:00,2,2,NaN,NaN,NaN,NaN
155,12:00,2,2,1.22,-1.76,18.45,650
155,15:00,2,2,1.67,-1.97,19.15,430
155,18:00,2,2,0.03,-3.49,13.75,0
155,21:00,2,2,-1.13,-2.36,10.65,0
156,00:00,2,2,-0.66,-2.51,10.05,0
156,03:00,2,2,0.07,-1.38,8.75,4
156,06:00,2,2,0.16,-0.93,12.45,300
156,09:00,2,2,0.43,-0.18,15.85,390
156,12:00,2,2,2.60,-0.72,17.55,430
156,15:00,2,2,4.20,-0.89,17.45,312
156,18:00,2,2,2.09,-1.21,11.35,0
156,21:00,2,2,0.18,-1.15,7.25,0
157,00:00,2,2,-1.00,-0.19,9.95,0
157,03:00,2,2,-0.30,0.74,5.65,9
157,06:00,2,2,0.81,1.46,10.65,390
157,09:00,2,2,1.80,0.14,14.35,561
157,12:00,2,2,3.53,-0.91,16.95,650
157,15:00,2,2,3.90,-1.43,17.15,430
157,18:00,2,2,0.69,-3.48,10.65,0
157,21:00,2,2,-1.26,-2.11,7.45,0
158,00:00,2,2,-0.58,-2.83,8.15,0
158,03:00,2,2,-0.68,-1.37,5.15,8
158,06:00,2,2,0.16,-0.87,9.75,370
158,09:00,2,2,2.84,-1.30,12.85,544
158,12:00,2,2,3.70,-2.13,15.25,630
158,15:00,2,2,5.56,-2.24,14.95,414
158,18:00,2,2,4.95,-0.13,10.45,0
158,21:00,2,2,1.89,0.90,6.65,0
159,00:00,2,2,0.74,1.83,7.35,0
159,03:00,2,2,1.40,1.47,7.45,3
159,06:00,2,2,1.36,-1.68,8.65,200
159,09:00,2,2,0.81,-3.28,10.75,444
159,12:00,2,2,1.67,-3.47,13.85,640
159,15:00,2,2,1.49,-3.79,13.75,422
159,18:00,2,2,-0.22,-2.72,7.65,0
159,21:00,2,2,-0.62,-2.65,5.75,0
160,00:00,2,2,-1.83,-2.13,5.35,0
160,03:00,2,2,-1.11,-1.63,3.55,8
160,06:00,2,2,-1.10,-1.42,7.15,370
160,09:00,2,2,0.64,-1.96,11.75,538
160,12:00,2,2,0.70,-3.56,15.15,570
160,15:00,2,2,0.71,-4.69,14.85,378
160,18:00,2,2,-0.27,-3.53,9.75,0
160,21:00,2,2,-1.51,-1.89,7.95,0
161,00:00,2,2,-1.93,-1.83,7.55,0
161,03:00,2,2,-1.95,-1.56,6.55,7
161,06:00,2,2,-2.13,-0.37,8.15,360
161,09:00,2,2,-1.76,-1.60,13.55,486
161,12:00,2,2,-0.83,-2.44,16.95,350
161,15:00,2,2,-1.01,-3.03,17.05,214
161,18:00,2,2,-0.19,-2.49,12.35,0
161,21:00,2,2,-2.47,-1.29,9.45,0
162,00:00,2,2,-2.93,-0.50,8.15,0
162,03:00,2,2,-2.42,-0.62,6.65,7
162,06:00,2,2,-2.16,-0.36,8.25,360
162,09:00,2,2,-1.98,-0.97,14.05,531
162,12:00,2,2,-1.47,-0.99,17.95,615
162,15:00,2,2,-3.03,-1.25,18.65,399
162,18:00,2,2,-2.01,-0.57,10.55,0
162,21:00,2,2,-3.94,-0.80,9.85,0
163,00:00,2,2,-3.87,-0.67,8.45,0
163,03:00,2,2,-2.43,-0.21,5.95,7
163,06:00,2,2,-1.99,-0.77,7.75,360
163,09:00,2,2,-2.26,-0.24,12.95,531
163,12:00,2,2,-1.21,-1.28,16.85,614
163,15:00,2,2,-3.00,-0.84,17.45,397
163,18:00,2,2,-3.34,0.48,10.35,0
163,21:00,2,2,-2.94,0.11,7.65,0
164,00:00,2,2,-2.86,0.28,6.75,0
164,03:00,2,2,-1.75,0.61,5.25,6
164,06:00,2,2,-2.50,0.82,7.75,310
164,09:00,2,2,-1.48,1.21,12.65,487
164,12:00,2,2,0.19,2.13,17.85,600
164,15:00,2,2,2.04,2.49,18.85,384
164,18:00,2,2,-1.63,2.48,12.75,0
164,21:00,2,2,-1.93,2.41,12.05,0
165,00:00,2,2,-1.26,2.61,12.15,0
165,03:00,2,2,-2.09,2.71,11.55,6
165,06:00,2,2,-3.04,1.45,12.15,340
165,09:00,2,2,-2.36,2.77,17.85,506
165,12:00,2,2,0.40,3.03,22.95,580
165,15:00,2,2,2.58,2.76,23.05,365
165,18:00,2,2,1.62,0.53,14.65,0
165,21:00,2,2,0.02,1.71,14.75,0
166,00:00,2,2,-1.91,2.55,14.85,0
166,03:00,2,2,-2.51,1.90,14.15,5
166,06:00,2,2,-2.29,0.51,13.75,100
166,09:00,2,2,-1.52,1.67,16.15,89
166,12:00,2,2,-1.63,0.56,16.25,460
166,15:00,2,2,-1.23,2.93,19.95,306
166,18:00,2,2,-2.94,1.04,16.25,0
166,21:00,2,2,2.33,0.14,15.15,0
167,00:00,2,2,1.49,-0.21,14.15,0
167,03:00,2,2,-0.09,2.30,13.25,2
167,06:00,2,2,-2.32,2.20,12.35,300
167,09:00,2,2,-0.46,3.24,15.65,451
167,12:00,2,2,5.63,1.72,17.55,560
167,15:00,2,2,8.72,2.61,15.95,358
167,18:00,2,2,1.72,0.40,9.85,0
167,21:00,2,2,0.82,1.97,8.55,0
168,00:00,2,2,-1.00,2.42,8.05,0
168,03:00,2,2,-1.14,2.48,8.25,4
168,06:00,2,2,-2.81,2.12,9.55,210
168,09:00,2,2,3.18,3.14,14.25,278
168,12:00,2,2,5.08,1.07,15.25,180
168,15:00,2,2,1.66,0.48,14.35,130
168,18:00,2,2,-2.68,1.28,11.05,0
168,21:00,2,2,-2.33,1.01,11.95,0
169,00:00,2,2,-3.30,0.89,12.25,0
169,03:00,2,2,-2.90,1.61,12.65,0
169,06:00,2,2,-3.48,1.03,11.85,30
169,09:00,2,2,-2.43,1.27,13.35,52
169,12:00,2,2,-2.56,0.85,16.65,220
169,15:00,2,2,-2.76,1.78,19.15,148
169,18:00,2,2,-1.55,-0.78,15.15,0
169,21:00,2,2,-0.85,1.71,13.55,0
170,00:00,2,2,0.98,-0.20,13.85,0
170,03:00,2,2,-1.37,2.21,13.95,2
170,06:00,2,2,0.70,1.29,14.45,30
170,09:00,2,2,6.65,-1.90,12.05,22
170,12:00,2,2,1.50,3.42,9.75,40
170,15:00,2,2,-2.46,4.28,8.55,59
170,18:00,2,2,-3.24,1.08,9.25,0
170,21:00,2,2,-2.51,1.95,8.25,0
171,00:00,2,2,-1.40,1.26,7.65,0
171,03:00,2,2,-0.80,2.17,7.65,4
171,06:00,2,2,-0.22,1.88,9.35,260
171,09:00,2,2,2.76,0.81,13.05,393
171,12:00,2,2,2.60,0.12,14.75,540
171,15:00,2,2,2.98,1.72,15.45,340
171,18:00,2,2,-1.86,1.99,9.45,0
171,21:00,2,2,-1.77,2.16,9.15,0
172,00:00,2,2,-1.23,2.13,8.25,0
172,03:00,2,2,-0.36,2.43,8.35,4
172,06:00,2,2,-0.63,1.86,8.95,260
172,09:00,2,2,2.94,1.43,13.35,382
172,12:00,2,2,3.47,-0.41,15.35,510
172,15:00,2,2,3.72,-2.46,14.95,319
172,18:00,2,2,0.62,-2.17,8.55,0
172,21:00,2,2,0.84,-1.04,5.55,0
173,00:00,2,2,0.25,-0.15,4.65,0
173,03:00,2,2,0.47,-0.89,4.95,4
173,06:00,2,2,0.06,-1.65,8.55,250
173,09:00,2,2,0.51,-1.99,12.45,409
173,12:00,2,2,0.67,-2.25,15.25,490
173,15:00,2,2,0.68,-3.19,15.25,310
173,18:00,2,2,-1.20,-3.20,9.75,0
173,21:00,2,2,-1.48,-1.61,7.35,0
174,00:00,2,2,-2.00,-1.06,7.65,0
174,03:00,2,2,-1.50,-0.35,5.95,3
174,06:00,2,2,-1.41,0.28,7.15,310
174,09:00,2,2,-0.86,0.37,12.45,474
174,12:00,2,2,-0.17,1.46,16.05,550
174,15:00,2,2,1.45,1.49,16.65,337
174,18:00,2,2,1.39,0.86,8.65,0
174,21:00,2,2,1.36,1.31,7.65,0
175,00:00,2,2,0.86,3.24,9.05,0
175,03:00,2,2,0.18,2.78,6.75,3
175,06:00,2,2,-2.24,3.29,9.35,140
175,09:00,2,2,2.53,3.28,13.65,183
175,12:00,2,2,3.99,2.17,14.15,160
175,15:00,2,2,2.08,2.33,11.25,85
175,18:00,2,2,0.26,2.17,10.75,0
175,21:00,2,2,4.08,1.62,9.75,0
176,00:00,2,2,3.56,1.20,7.95,0
176,03:00,2,2,3.28,2.09,6.35,0
176,06:00,2,2,3.33,1.97,7.15,40
176,09:00,2,2,3.40,-0.13,8.45,99
176,12:00,2,2,2.54,-0.88,10.05,290
176,15:00,2,2,2.89,-0.98,11.25,191
176,18:00,2,2,1.45,0.11,5.85,0
176,21:00,2,2,1.12,0.54,3.55,0
177,00:00,2,2,-0.21,1.43,6.95,0
177,03:00,2,2,-0.52,1.48,4.55,3
177,06:00,2,2,-1.68,1.28,6.05,300
177,09:00,2,2,-0.09,1.44,10.95,464
177,12:00,2,2,0.37,1.48,14.45,510
177,15:00,2,2,1.16,0.53,14.65,310
177,18:00,2,2,-0.70,0.29,5.95,0
177,21:00,2,2,-0.11,0.15,5.35,0
178,00:00,2,2,-1.88,1.81,7.05,0
178,03:00,2,2,-1.05,0.23,4.65,3
178,06:00,2,2,-1.30,0.43,6.35,280
178,09:00,2,2,-0.34,-0.62,12.65,447
178,12:00,2,2,0.46,-2.14,15.45,430
178,15:00,2,2,0.44,-2.57,15.65,265
178,18:00,2,2,-0.86,-1.98,11.65,0
178,21:00,2,2,-0.94,-2.07,11.55,0
179,00:00,2,2,-2.46,-2.59,11.35,0
179,03:00,2,2,-1.82,-1.77,9.35,2
179,06:00,2,2,-1.14,-1.37,9.75,190
179,09:00,2,2,-1.68,-2.38,13.55,252
179,12:00,2,2,-1.04,-2.53,14.75,100
179,15:00,2,2,-0.52,-3.29,14.25,65
179,18:00,2,2,-1.11,-3.07,11.15,0
179,21:00,2,2,-2.59,-2.17,9.95,0
180,00:00,2,2,-2.73,-2.40,8.25,0
180,03:00,2,2,-2.14,-1.80,6.75,2
180,06:00,2,2,-0.86,-1.31,6.35,280
180,09:00,2,2,-4.10,-1.85,13.05,442
180,12:00,2,2,-4.25,-2.00,16.45,450
180,15:00,2,2,-4.97,-3.13,15.45,276
180,18:00,2,2,-1.76,-1.74,8.85,0
180,21:00,2,2,-3.53,-1.94,7.45,0
181,00:00,2,2,-3.69,-2.16,6.65,0
181,03:00,2,2,-3.20,-1.81,5.45,2
181,06:00,2,2,-1.43,-1.94,4.65,290
181,09:00,2,2,-4.30,-2.75,11.55,458
181,12:00,2,2,-4.50,-3.72,14.75,510
181,15:00,2,2,-5.99,-3.07,13.85,308
181,18:00,2,2,-1.70,-2.32,7.45,0
181,21:00,2,2,-3.81,-2.51,6.85,0
182,00:00,2,2,-2.94,-2.60,6.15,0
182,03:00,2,2,-4.47,-2.29,5.85,2
182,06:00,2,2,-1.48,-1.48,4.65,290
182,09:00,2,2,-5.40,-1.08,11.15,456
182,12:00,2,2,-5.06,-0.34,15.55,510
182,15:00,2,2,-6.16,-2.31,14.65,306
182,18:00,2,2,-3.11,-0.90,8.05,0
182,21:00,2,2,-4.17,-1.28,6.85,0
183,00:00,2,2,-1.63,-0.57,3.15,0
183,03:00,2,2,-2.62,0.01,3.35,2
183,06:00,2,2,-2.32,-0.28,3.64,250
183,09:00,2,2,-2.54,-0.37,9.12,429
183,12:00,2,2,-2.58,-1.26,13.75,500
183,15:00,2,2,-4.49,-1.95,14.35,298
183,18:00,2,2,-1.49,-1.12,6.25,0
183,21:00,2,2,-3.84,-1.55,5.99,0
184,00:00,2,2,-2.89,-1.68,3.95,0
184,03:00,2,2,-2.50,-1.16,1.98,2
184,06:00,2,2,-1.49,-1.31,1.80,270
184,09:00,2,2,-1.90,-0.11,7.61,436
184,12:00,2,2,-0.73,-0.47,12.12,490
184,15:00,2,2,-1.96,-2.42,13.91,293
184,18:00,2,2,-0.99,-1.84,6.33,0
184,21:00,2,2,-2.39,-1.74,6.28,0
185,00:00,2,2,-2.68,-0.85,5.33,0
185,03:00,2,2,-2.02,-0.50,4.13,1
185,06:00,2,2,-2.09,-0.10,4.47,260
185,09:00,2,2,-1.42,0.03,10.52,420
185,12:00,2,2,-0.33,-0.74,15.17,470
185,15:00,2,2,-0.83,-1.70,16.64,277
185,18:00,2,2,-1.14,-1.12,8.02,0
185,21:00,2,2,-0.46,-0.05,6.95,0
186,00:00,2,2,-0.16,1.90,8.42,0
186,03:00,2,2,0.04,2.36,7.05,1
186,06:00,2,2,-1.86,2.57,7.03,250
186,09:00,2,2,0.44,1.86,13.35,409
186,12:00,2,2,1.23,0.67,17.05,440
186,15:00,2,2,1.57,-0.21,17.58,251
186,18:00,2,2,0.52,-1.34,12.13,0
186,21:00,2,2,-1.60,-1.52,11.17,0
187,00:00,2,2,2.08,0.55,10.37,0
187,03:00,2,2,5.01,1.03,9.86,0
187,06:00,2,2,-0.34,2.34,8.45,100
187,09:00,2,2,1.31,2.62,10.64,304
187,12:00,2,2,0.50,1.98,13.88,470
187,15:00,2,2,0.02,1.64,14.39,270
187,18:00,2,2,-1.92,0.74,8.65,0
187,21:00,2,2,-1.65,0.58,8.24,0
188,00:00,2,2,-1.80,1.20,8.90,0
188,03:00,2,2,-1.84,1.96,9.43,0
188,06:00,2,2,-3.44,1.86,8.14,200
188,09:00,2,2,-2.39,2.02,13.05,349
188,12:00,2,2,-2.37,1.96,16.52,430
188,15:00,2,2,-1.66,2.37,17.65,230
188,18:00,2,2,-2.83,1.70,13.12,0
188,21:00,2,2,-2.38,2.97,12.80,0
189,00:00,2,2,-2.43,2.41,12.84,0
189,03:00,2,2,-2.07,1.96,11.83,1
189,06:00,2,2,-2.53,1.24,11.89,170
189,09:00,2,2,-1.79,2.08,16.35,251
189,12:00,2,2,3.67,2.00,16.85,70
189,15:00,2,2,0.46,1.78,13.75,40
189,18:00,2,2,-2.35,3.66,12.75,0
189,21:00,2,2,-0.72,3.23,11.45,0
190,00:00,2,2,0.89,2.95,10.93,0
190,03:00,2,2,3.56,2.13,10.87,0
190,06:00,2,2,2.90,2.02,10.94,150
190,09:00,2,2,6.22,0.10,11.95,204
190,12:00,2,2,3.38,0.94,12.35,170
190,15:00,2,2,4.77,1.27,12.45,116
190,18:00,2,2,1.82,0.35,7.15,0
190,21:00,2,2,1.36,0.98,5.85,0
191,00:00,2,2,-0.76,1.32,5.47,0
191,03:00,2,2,0.13,1.12,3.95,1
191,06:00,2,2,-0.77,0.92,5.52,230
191,09:00,2,2,0.73,-0.78,11.09,390
191,12:00,2,2,1.28,-1.66,13.45,400
191,15:00,2,2,0.62,-2.53,13.05,229
191,18:00,2,2,-0.53,-3.14,8.65,0
191,21:00,2,2,-0.21,-2.12,8.84,0
192,00:00,2,2,-1.30,-1.93,7.36,0
192,03:00,2,2,-1.16,-1.14,5.72,1
192,06:00,2,2,-1.05,-0.71,5.75,200
192,09:00,2,2,-1.10,-1.59,11.17,330
192,12:00,2,2,-0.84,-0.85,13.42,210
192,15:00,2,2,-0.64,-2.40,13.68,120
192,18:00,2,2,-0.76,-2.05,10.95,0
192,21:00,2,2,-1.48,-1.44,10.36,0
193,00:00,2,2,-1.96,-1.83,9.58,0
193,03:00,2,2,-1.82,-1.25,6.75,0
193,06:00,2,2,-1.97,-0.93,7.01,160
193,09:00,2,2,-1.79,-1.64,10.91,204
193,12:00,2,2,-1.49,-2.20,12.27,70
193,15:00,2,2,-1.51,-0.68,11.66,40
193,18:00,2,2,-0.62,-1.00,9.75,0
193,21:00,2,2,-0.78,-2.56,9.17,0
194,00:00,2,2,-1.85,-2.45,8.10,0
194,03:00,2,2,-1.73,-1.89,5.83,0
194,06:00,2,2,-0.33,-2.08,6.51,120
194,09:00,2,2,-1.87,-1.89,9.70,211
194,12:00,2,2,-2.88,-1.71,11.45,250
194,15:00,2,2,-3.30,-1.55,12.11,150
194,18:00,2,2,-1.57,-1.42,8.64,0
194,21:00,2,2,-2.15,-1.13,6.18,0
195,00:00,2,2,-2.14,-0.76,4.44,0
195,03:00,2,2,-2.10,0.10,2.74,0
